[	]	-	first	last
*	- стартова€ позици€ опорного элемента
!	- финальна€ позици€ опорного элемента
.	.	- концентрический обмен: сначала самые внешние (в [first, last)), потом чуть более внутренние ...
n	n	- обмен
--------------------------
среднее
0	1	2	3	4	5	6	7	8	9	10
0.8381	0.0196	0.6813	0.3795	0.8318	0.5028	0.7095	0.4289	0.3046	0.1897
[.		.		.	*!		.	.	.	]
0.1897	0.0196	0.3046	0.3795	0.4289	0.5028	0.7095	0.8318	0.6813	0.8381	
[		*!			]	[.!		*.		]
0.1897	0.0196	0.3046	0.3795	0.4289	0.5028	0.6813	0.8318	0.7095	0.8381	
[.!	*.	]	[	*	]		[.!	*.		]
0.0196	0.1897	0.3046	0.3795	0.4289	0.5028	0.6813	0.7095	0.8318	0.8381	
	[	]	[	]				[	*	]

============================================================================================
среднее
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
															
0.1934	0.6822	0.3028	0.5417	0.1509	0.6979	0.3784	0.8600	0.8537	0.5936	0.4966	0.8998	0.8216	0.6449	0.8180	
[							*1				23		3!	12	]
0.1934	0.6822	0.3028	0.5417	0.1509	0.6979	0.3784	0.8180	0.8537	0.5936	0.4966	0.6449	0.8216	0.8600	0.8998	
[	12		3!	23		*1							]	[	]
0.1934	0.1509	0.3028	0.3784	0.5417	0.6979	0.6822	0.8180	0.8537	0.5936	0.4966	0.6449	0.8216	0.8600	0.8998	
[.!	*.		]	[				*.				.!	]		
0.1509	0.1934	0.3028	0.3784	0.5417	0.6979	0.6822	0.8180	0.8216	0.5936	0.4966	0.6449	0.8537	0.8600	0.8998	
	[	*	]	[				*.			.!	]			
0.1509	0.1934	0.3028	0.3784	0.5417	0.6979	0.6822	0.8180	0.6449	0.5936	0.4966	0.8216	0.8537	0.8600	0.8998	
				[			*.			.!	]				
0.1509	0.1934	0.3028	0.3784	0.5417	0.6979	0.6822	0.4966	0.6449	0.5936	0.8180	0.8216	0.8537	0.8600	0.8998	
				[.!			*.			]					
0.1509	0.1934	0.3028	0.3784	0.4966	0.6979	0.6822	0.5417	0.6449	0.5936	0.8180	0.8216	0.8537	0.8600	0.8998	
					[.!		*.			]					
0.1509	0.1934	0.3028	0.3784	0.4966	0.5417	0.6822	0.6979	0.6449	0.5936	0.8180	0.8216	0.8537	0.8600	0.8998	
						[.	.!	*.	.	]					
0.1509	0.1934	0.3028	0.3784	0.4966	0.5417	0.5936	0.6449	0.6979	0.6822	0.8180	0.8216	0.8537	0.8600	0.8998	
								[.!	*.	]					
0.1509	0.1934	0.3028	0.3784	0.4966	0.5417	0.5936	0.6449	0.6822	0.6979	0.8180	0.8216	0.8537	0.8600	0.8998	
															
============================================================================================
правое
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
															
0.1934	0.6822	0.3028	0.5417	0.1509	0.6979	0.3784	0.8600	0.8537	0.5936	0.4966	0.8998	0.8216	0.6449	0.8180	
[							12	34		4!			23	*1	]
0.1934	0.6822	0.3028	0.5417	0.1509	0.6979	0.3784	0.6449	0.4966	0.5936	0.8180	0.8998	0.8216	0.8537	0.8600	
[	12				34	4!		23	*1	]	[12		2!	*1	]
0.1934	0.4966	0.3028	0.5417	0.1509	0.3784	0.5936	0.6449	0.6979	0.6822	0.8180	0.8537	0.8216	0.8600	0.8998	
[	12		3!	23	*1	]	[	.!	*.	]	[.!	*.	]	[	]
0.1934	0.1509	0.3028	0.3784	0.5417	0.4966	0.5936	0.6449	0.6822	0.6979	0.8180	0.8216	0.8537	0.8600	0.8998	
[		*!	]	[.!	*.	]	[	]	[	]		[	]		
0.1934	0.1509	0.3028	0.3784	0.4966	0.5417	0.5936	0.6449	0.6822	0.6979	0.8180	0.8216	0.8537	0.8600	0.8998	
[.!	*.	]													
0.1509	0.1934	0.3028	0.3784	0.4966	0.5417	0.5936	0.6449	0.6822	0.6979	0.8180	0.8216	0.8537	0.8600	0.8998	
