1)NOTE: Values of ts are given by the following table:
New Task
Old Task 		To 32 Bit TSS 	To 16 Bit TSS 	To VM TSS
VM/32-bit/16-bit TSS 	85 		87 		71
2)* For Pentium® processor and Intel486™ processor implementation, please refer to section 23.3.7 of this document.

37 		AAA 			3 		ASCII adjust AL after addition
D5 0A 		AAD 			10 		ASCII adjust AX before division
D4 0A 		AAM 			18 		ASCII adjust AX after multiply
3F 		AAS 			3 		ASCII adjust AL after subtraction
14 ib 		ADC AL,imm8 		1 		Add with carry immediate byte to AL
15 iw 		ADC AX,imm16 		1 		Add with carry immediate word to AX
15 id 		ADC EAX,imm32 		1 		Add with carry immediate dword to EAX
80 /2 ib 	ADC r/m8,imm8 		1/3 		Add with carry immediate byte to r/m byte
81 /2 iw 	ADC r/m16,imm16 	1/3 		Add with carry immediate word to r/m word
81 /2 id 	ADC r/m32,imm32 	1/3 		Add with CF immediate dword to r/m dword
83 /2 ib 	ADC r/m16,imm8 		1/3 		Add with CF sign-extended immediate byte to r/m word
83 /2 ib 	ADC r/m32,imm8 		1/3 		Add with CF sign-extended immediate byte into r/m dword
10 /r 		ADC r/m8,r8 		1/3 		Add with carry byte register to r/m byte
11 /r 		ADC r/m16,r16 		1/3 		Add with carry word register to r/m word
11 /r 		ADC r/m32,r32 		1/3 		Add with CF dword register to r/m dword
12 /r 		ADC r8,r/m8 		1/2 		Add with carry r/m byte to byte register
13 /r 		ADC r16,r/m16 		1/2 		Add with carry r/m word to word register
13 /r 		ADC r32,r/m32 		1/2 		Add with CF r/m dword to dword register
04 ib 		ADD AL,imm8 		1 		Add immediate byte to AL
05 iw 		ADD AX,imm16 		1 		Add immediate word to AX
05 id 		ADD EAX,imm32 		1 		Add immediate dword to EAX
80 /0 ib 	ADD r/m8,imm8 		1/3 		Add immediate byte to r/m byte
81 /0 iw 	ADD r/m16,imm16 	1/3 		Add immediate word to r/m word
81 /0 id 	ADD r/m32,imm32 	1/3 		Add immediate dword to r/m dword
83 /0 ib 	ADD r/m16,imm8 		1/3 		Add sign-extended immediate byte to r/m word
83 /0 ib 	ADD r/m32,imm8 		1/3 		Add sign-extended immediate byte to r/m dword
00 /r 		ADD r/m8,r8 		1/3 		Add byte register to r/m byte
01 /r 		ADD r/m16,r16 		1/3 		Add word register to r/m word
01 /r 		ADD r/m32,r32 		1/3 		Add dword register to r/m dword
02 /r 		ADD r8,r/m8 		1/2 		Add r/m byte to byte register
03 /r 		ADD r16,r/m16 		1/2 		Add r/m word to word register
03 /r 		ADD r32,r/m32 		1/2 		Add r/m dword to dword register
24 ib 		AND AL,imm8 		1 		AND immediate byte to AL
25 iw 		AND AX,imm16 		1 		AND immediate word to AX
25 id 		AND EAX,imm32 		1 		AND immediate dword to EAX
80 /4 ib 	AND r/m8,imm8 		1/3 		AND immediate byte to r/m byte
81 /4 iw 	AND r/m16,imm16 	1/3 		AND immediate word to r/m word
81 /4 id 	AND r/m32,imm32 	1/3 		AND immediate dword to r/m dword
83 /4 ib 	AND r/m16,imm8 		1/3 		AND sign-extended immediate byte with r/m word
83 /4 ib 	AND r/m32,imm8 		1/3 		AND sign-extended immediate byte with r/m dword
20 /r 		AND r/m8,r8 		1/3 		AND byte register to r/m byte
21 /r 		AND r/m16,r16 		1/3 		AND word register to r/m word
21 /r 		AND r/m32,r32 		1/3 		AND dword register to r/m dword
22 /r 		AND r8,r/m8 		1/2 		AND r/m byte to byte register
23 /r 		AND r16,r/m16 		1/2 		AND r/m word to word register
23 /r 		AND r32,r/m32 		1/2 		AND r/m dword to dword register
63 /r 		ARPL r/m16,r16 		pm=7 		Adjust RPL of r/m16 to not less than RPL of r16
62 /r 		BOUND r16,m16&16	8 (within bounds) int+32 (out of bounds)	Check if r16 is within bounds
62 /r 		BOUND r32,m32&32	8 (within bounds) int+32 (out of bounds)	Check if r32 is within bounds
0F BC 		BSF r16,r/m16 		6-34/6-35 	Bit scan forward on r/m word
0F BC 		BSF r32,r/m32 		6-42/6-43 	Bit scan forward on r/m dword
0F BD 		BSR r16,r/m16 		7-39/7-40 	Bit scan reverse on r/m word
0F BD 		BSR r32,r/m32 		7-71/7-72 	Bit scan reverse on r/m dword
0F C8+rd 	BSWAP r32 		1 		Swap bytes to convert little/big endian data in a 32-bit register to big/little endian form.
0F A3 		BT r/m16,r16 		4/9 		Save bit in carry flag
0F A3 		BT r/m32,r32 		4/9 		Save bit in carry flag
0F BA /4 ib 	BT r/m16,imm8 		4 		Save bit in carry flag
0F BA /4 ib 	BT r/m32,imm8 		4 		Save bit in carry flag
0F BB 		BTC r/m16,r16 		7/13 		Save bit in carry flag and complement
0F BB 		BTC r/m32,r32 		7/13 		Save bit in carry flag and complement
0F BA /7 ib 	BTC r/m16,imm8 		7/8 		Save bit in carry flag and complement
0F BA /7 ib 	BTC r/m32,imm8 		7/8 		Save bit in carry flag and complement
0F B3 		BTR r/m16,r16 		7/13 		Save bit in carry flag and reset
0F B3 		BTR r/m32,r32 		7/13 		Save bit in carry flag and reset
0F BA /6 ib 	BTR r/m16,imm8 		7/8 		Save bit in carry flag and reset
0F BA /6 ib 	BTR r/m32,imm8 		7/8 		Save bit in carry flag and reset
0F AB 		BTS r/m16,r16 		7/13 		Save bit in carry flag and set
0F AB 		BTS r/m32,r32 		7/13 		Save bit in carry flag and set
0F BA /5 ib 	BTS r/m16,imm8 		7/8 		Save bit in carry flag and set
0F BA /5 ib 	BTS r/m32,imm8 		7/8 		Save bit in carry flag and set
E8 cw 		CALL rel16 		1 		Call near, displacement relative to next instruction*1
FF /2 		CALL r/m16 		2 		Call near, register indirect/memory indirect*1
9A cd 		CALL ptr16:16 		4 		Call intersegment, to full pointer given*1
9A cd 		CALL ptr16:16 		pm=22 		Call gate, same privilege*1
9A cd 		CALL ptr16:16 		pm=44 		Call gate, more privilege, no parameters*1
9A cd 		CALL ptr16:16 		pm=45+2x 	Call gate, more privilege, x parameters*1
9A cd 		CALL ptr16:16 		pm=21+ts 	Call to task*1
FF /3 		CALL m16:16 		5 		Call intersegment, address at r/m dword*1
FF /3 		CALL m16:16 		pm=22 		Call gate, same privilege*1
FF /3 		CALL m16:16 		pm=44 		Call gate, more privilege, no parameters*1
FF /3 		CALL m16:16 		pm=45+2x 	Call gate, more privilege, x parameters*1
FF /3 		CALL m16:16 		pm=21+ts 	Call to task*1
